epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.39193,1.52342,1.73197,1.3144,0.88566,0.875,0.94484,0.63378,1.23863,1.35674,1.02271,0.0677857,0.000325397,0.000325397
2,16.4797,0.95433,0.63615,1.02808,0.98779,0.97619,0.99401,0.74657,0.95421,0.71963,1.07206,0.0347727,0.000645687,0.000645687
3,24.5444,0.90358,0.56794,1.02906,0.99412,0.99405,0.995,0.75597,0.8915,0.64074,1.08792,0.00174643,0.000952778,0.000952778
4,32.4312,0.89391,0.54526,1.02799,0.99938,0.98214,0.99428,0.74013,0.97235,0.61218,1.11374,0.0009406,0.0009406,0.0009406
5,40.1783,0.88399,0.53351,1.02479,0.97666,1,0.99316,0.79787,0.77578,0.54204,1.09752,0.0009208,0.0009208,0.0009208
6,47.9247,0.82607,0.4876,1.02316,1,0.99969,0.995,0.77378,0.84571,0.46409,1.0625,0.000901,0.000901,0.000901
7,55.8786,0.87601,0.49269,1.02459,0.98764,0.99405,0.99488,0.79276,0.80611,0.44974,1.07304,0.0008812,0.0008812,0.0008812
8,63.6871,0.82961,0.48185,1.00566,0.9996,1,0.995,0.82558,0.71215,0.40139,1.00048,0.0008614,0.0008614,0.0008614
9,71.5464,0.77402,0.46124,1.01161,0.99941,0.98214,0.99482,0.81432,0.68841,0.40152,1.0051,0.0008416,0.0008416,0.0008416
10,79.3229,0.7646,0.43356,0.99844,0.99964,0.99405,0.995,0.81845,0.70675,0.40044,0.99617,0.0008218,0.0008218,0.0008218
11,87.1073,0.79613,0.4321,1.00489,1,0.9996,0.995,0.8133,0.77344,0.38377,1.01272,0.000802,0.000802,0.000802
12,95.287,0.76679,0.43597,0.99161,1,0.99946,0.995,0.80325,0.79754,0.37615,1.07837,0.0007822,0.0007822,0.0007822
13,103.267,0.74687,0.42731,0.98016,1,0.99983,0.995,0.85972,0.66001,0.3426,0.98114,0.0007624,0.0007624,0.0007624
14,111.226,0.72265,0.41003,0.975,1,0.99966,0.995,0.856,0.63601,0.35549,0.99295,0.0007426,0.0007426,0.0007426
15,119.086,0.72947,0.41043,0.96769,0.99994,1,0.995,0.84371,0.66907,0.36007,0.97552,0.0007228,0.0007228,0.0007228
16,127.003,0.72199,0.40436,0.96987,0.99408,0.99987,0.99494,0.84605,0.70888,0.38206,1.05589,0.000703,0.000703,0.000703
17,134.849,0.71146,0.3983,0.96931,0.99955,1,0.995,0.84122,0.65554,0.35045,0.97683,0.0006832,0.0006832,0.0006832
18,142.795,0.69379,0.38597,0.95242,0.99958,1,0.995,0.84512,0.72609,0.34754,0.99836,0.0006634,0.0006634,0.0006634
19,150.902,0.69782,0.38135,0.96859,1,0.9996,0.995,0.8449,0.66065,0.33778,0.97485,0.0006436,0.0006436,0.0006436
20,158.862,0.69381,0.37526,0.95533,0.99946,0.99405,0.995,0.84164,0.666,0.33652,0.99391,0.0006238,0.0006238,0.0006238
21,166.762,0.67835,0.36926,0.94755,0.99962,1,0.995,0.84745,0.68476,0.33426,0.99531,0.000604,0.000604,0.000604
22,174.637,0.73782,0.38943,0.96525,0.99953,1,0.995,0.84692,0.66791,0.32933,0.93741,0.0005842,0.0005842,0.0005842
23,182.503,0.72423,0.38332,0.95882,0.99977,1,0.995,0.86853,0.60141,0.29986,0.94007,0.0005644,0.0005644,0.0005644
24,190.451,0.69185,0.36743,0.94818,0.99972,1,0.995,0.86046,0.62382,0.2993,0.93003,0.0005446,0.0005446,0.0005446
25,198.396,0.65804,0.35484,0.93791,0.99964,1,0.995,0.86735,0.62437,0.2987,0.93051,0.0005248,0.0005248,0.0005248
26,206.276,0.64562,0.34518,0.94453,0.99977,1,0.995,0.86735,0.607,0.28042,0.94201,0.000505,0.000505,0.000505
27,214.329,0.6358,0.3395,0.9325,0.99966,1,0.995,0.84625,0.68739,0.31951,0.95627,0.0004852,0.0004852,0.0004852
28,222.324,0.63654,0.33942,0.94412,0.99929,1,0.995,0.85065,0.63087,0.30576,0.93838,0.0004654,0.0004654,0.0004654
29,230.36,0.65157,0.34393,0.94205,0.9999,1,0.995,0.84549,0.63032,0.30702,0.93572,0.0004456,0.0004456,0.0004456
30,238.296,0.65054,0.34531,0.94556,1,0.99962,0.995,0.86457,0.62125,0.29997,0.93589,0.0004258,0.0004258,0.0004258
31,246.424,0.63104,0.33473,0.93826,1,0.99963,0.995,0.86709,0.6158,0.28177,0.93786,0.000406,0.000406,0.000406
32,254.343,0.62871,0.33418,0.93377,1,0.99958,0.995,0.85682,0.64453,0.29946,0.93881,0.0003862,0.0003862,0.0003862
33,262.47,0.63475,0.33628,0.93438,0.99963,0.99405,0.995,0.86479,0.61233,0.29028,0.92744,0.0003664,0.0003664,0.0003664
34,270.466,0.63579,0.33585,0.94878,0.99965,0.99405,0.995,0.87269,0.61511,0.31846,0.94658,0.0003466,0.0003466,0.0003466
35,278.568,0.61928,0.32563,0.93429,0.99961,0.99405,0.995,0.8771,0.58292,0.26993,0.92484,0.0003268,0.0003268,0.0003268
36,286.507,0.59056,0.31936,0.92547,1,0.99943,0.995,0.88622,0.59626,0.26245,0.92437,0.000307,0.000307,0.000307
37,294.477,0.6049,0.31983,0.9286,0.99964,1,0.995,0.86557,0.63626,0.27254,0.96035,0.0002872,0.0002872,0.0002872
38,302.451,0.60157,0.31636,0.9346,0.99965,1,0.995,0.88497,0.55935,0.2544,0.91382,0.0002674,0.0002674,0.0002674
39,310.495,0.5962,0.31307,0.92581,0.99975,1,0.995,0.88714,0.56958,0.26442,0.92741,0.0002476,0.0002476,0.0002476
40,318.57,0.59162,0.30967,0.92966,0.99988,1,0.995,0.86228,0.63864,0.27612,0.92797,0.0002278,0.0002278,0.0002278
41,353.337,0.55463,0.28367,0.9319,0.99976,1,0.995,0.86689,0.60374,0.2646,0.92307,0.000208,0.000208,0.000208
42,361.189,0.55885,0.27633,0.93268,1,0.99969,0.995,0.88096,0.58282,0.26049,0.91751,0.0001882,0.0001882,0.0001882
43,369.032,0.55499,0.27054,0.91402,1,0.99963,0.995,0.88034,0.58265,0.26339,0.91082,0.0001684,0.0001684,0.0001684
44,376.858,0.53859,0.26313,0.91198,1,0.99967,0.995,0.87676,0.5987,0.26082,0.92145,0.0001486,0.0001486,0.0001486
45,384.613,0.5309,0.25616,0.91823,1,0.99967,0.995,0.88948,0.56481,0.25474,0.90367,0.0001288,0.0001288,0.0001288
46,392.426,0.51415,0.24761,0.89765,1,0.99965,0.995,0.88591,0.54452,0.24749,0.90142,0.000109,0.000109,0.000109
47,400.317,0.50826,0.24581,0.90703,1,0.99971,0.995,0.88852,0.54521,0.23443,0.90309,8.92e-05,8.92e-05,8.92e-05
48,408.097,0.4826,0.23364,0.90275,1,0.99988,0.995,0.89036,0.54438,0.23716,0.90577,6.94e-05,6.94e-05,6.94e-05
49,415.968,0.47601,0.23429,0.8954,1,0.99987,0.995,0.8887,0.54192,0.23308,0.90209,4.96e-05,4.96e-05,4.96e-05
50,423.756,0.48444,0.23129,0.89511,1,0.99994,0.995,0.89844,0.5354,0.23309,0.90112,2.98e-05,2.98e-05,2.98e-05
